,ANI energy,DFT energy,Phi,Psi
770,-1781908.1061804078,-1781908.6677158794,140,210
771,-1781905.7508748746,-1781905.8806325514,150,210
772,-1781903.986651862,-1781903.63050908,160,210
773,-1781902.8677008662,-1781902.2388813195,170,210
774,-1781902.904373758,-1781902.2234445864,180,210
775,-1781904.5696948327,-1781904.2806088948,190,210
776,-1781907.8251642263,-1781908.183906075,200,210
777,-1781912.266273837,-1781912.4249288545,210,210
778,-1781915.264027439,-1781915.2971652183,220,210
779,-1781915.8007474558,-1781916.0247624533,230,210
780,-1781914.121666763,-1781914.8902880754,240,210
781,-1781911.6617330217,-1781912.615064225,250,210
782,-1781909.195631305,-1781909.789640068,260,210
783,-1781906.659120923,-1781906.8764900863,270,210
784,-1781904.4966547426,-1781904.2900842878,280,210
785,-1781903.0261230837,-1781902.4897596072,290,210
786,-1781902.8297335766,-1781902.089283061,300,210
787,-1781904.3739613744,-1781903.8788145785,310,210
788,-1781907.5080447486,-1781907.7317227481,320,210
789,-1781911.8021048415,-1781912.0384457696,330,210
790,-1781915.0484393293,-1781915.0546955576,340,210
791,-1781915.865631516,-1781916.0491098207,350,210
792,-1781913.6197589668,-1781914.1539684588,0,220
793,-1781911.3576061577,-1781911.8769875818,10,220
794,-1781908.9321553197,-1781909.2078760348,20,220
795,-1781906.9335699973,-1781906.7223110085,30,220
796,-1781905.5111304796,-1781904.805081313,40,220
797,-1781904.5984502288,-1781903.828300066,50,220
798,-1781904.9304440634,-1781904.329366381,60,220
799,-1781906.9093200176,-1781906.6965831202,70,220
800,-1781910.0189909232,-1781910.3264744228,80,220
801,-1781913.5107601727,-1781913.6655150843,90,220
802,-1781915.344927367,-1781915.3862715636,100,220
803,-1781914.720639061,-1781915.1453706766,110,220
804,-1781912.8284829634,-1781913.4672848417,120,220
805,-1781910.5925566247,-1781911.116948107,130,220
806,-1781908.425594312,-1781908.6759990046,140,220
807,-1781906.71643226,-1781906.5019296813,150,220
808,-1781905.5055888495,-1781904.8047675584,160,220
809,-1781904.6600822234,-1781903.855847732,170,220
810,-1781904.7861736421,-1781904.1953303572,180,220
811,-1781906.5284858288,-1781906.4083052678,190,220
812,-1781909.5248055349,-1781910.0311684646,200,220
813,-1781913.1387664757,-1781913.424927952,210,220
814,-1781915.1616194416,-1781915.2799714587,220,220
815,-1781915.0873637404,-1781915.3212615822,230,220
816,-1781913.4654278723,-1781913.9839133914,240,220
817,-1781911.3325615448,-1781911.8624921131,250,220
818,-1781909.0978277207,-1781909.437732755,260,220
819,-1781907.200167601,-1781907.1069115652,270,220
820,-1781905.779385079,-1781905.1686603022,280,220
821,-1781904.7697450372,-1781903.9613948255,290,220
822,-1781904.7019468576,-1781904.0324916486,300,220
823,-1781906.331343983,-1781905.9962825475,310,220
824,-1781909.1096046437,-1781909.5068215479,320,220
825,-1781912.633218097,-1781912.9922601697,330,220
826,-1781914.9769927864,-1781915.1050845685,340,220
827,-1781915.2471656324,-1781915.4158900108,350,220
828,-1781914.2398403436,-1781914.169216939,0,230
829,-1781912.362930578,-1781912.2999917183,10,230
830,-1781910.3754156088,-1781910.2019137924,20,230
831,-1781908.7503943648,-1781908.2601484763,30,230
832,-1781907.468443632,-1781906.7179811932,40,230
833,-1781906.5829051624,-1781905.918910629,50,230
834,-1781906.9159551794,-1781906.3636265933,60,230
835,-1781908.5197573204,-1781908.3653818152,70,230
836,-1781911.177972304,-1781911.3503188805,80,230
837,-1781914.0582230266,-1781914.0168576387,90,230
838,-1781915.3549110168,-1781915.3097154077,100,230
839,-1781915.0844778507,-1781915.0597783844,110,230
840,-1781913.7416622578,-1781913.7167826083,120,230
841,-1781911.8972328564,-1781911.8655669095,130,230
842,-1781910.0834333734,-1781909.9347202582,140,230
843,-1781908.6193929848,-1781908.1738031728,150,230
844,-1781907.4700388259,-1781906.7438973344,160,230
845,-1781906.6201928954,-1781905.9367318982,170,230
846,-1781906.8284237385,-1781906.297047838,180,230
847,-1781908.339221089,-1781908.2908336895,190,230
848,-1781910.9483557306,-1781911.285246148,200,230
849,-1781913.7702953124,-1781913.9003918804,210,230
850,-1781915.2574640617,-1781915.2496000002,220,230
851,-1781915.2514292595,-1781915.1883550757,230,230
852,-1781914.1370273384,-1781914.0531276863,240,230
853,-1781912.3472452057,-1781912.3186915007,250,230
854,-1781910.5020050667,-1781910.3903548871,260,230
855,-1781908.9562129395,-1781908.549242091,270,230
856,-1781907.7130105179,-1781906.9945246184,280,230
857,-1781906.7136874602,-1781906.0106525142,290,230
858,-1781906.7397673845,-1781906.1342091295,300,230
859,-1781908.1266325787,-1781907.8335047849,310,230
860,-1781910.4062628583,-1781910.7030428583,320,230
861,-1781913.3501888888,-1781913.4718029096,330,230
862,-1781915.1368980282,-1781915.1144972104,340,230
863,-1781915.3100329177,-1781915.2743866246,350,230
864,-1781915.5799328242,-1781915.2916431348,0,240
865,-1781914.0462936996,-1781913.8289813022,10,240
866,-1781912.3133903367,-1781912.066620945,20,240
867,-1781910.7523636757,-1781910.2939066812,30,240
868,-1781909.314940776,-1781908.7466565715,40,240
869,-1781908.364496408,-1781907.7673025355,50,240
870,-1781908.4780473171,-1781907.8604876923,60,240
871,-1781909.6642756315,-1781909.3667614334,70,240
872,-1781912.130385002,-1781911.862554864,80,240
873,-1781914.8509129188,-1781914.2953463434,90,240
874,-1781916.2491457637,-1781915.748407281,100,240
875,-1781916.273094089,-1781915.9190271068,110,240
876,-1781915.22612987,-1781915.0346780054,120,240
877,-1781913.705544539,-1781913.5647370627,130,240
878,-1781912.073566918,-1781911.889035764,140,240
879,-1781910.6203073557,-1781910.2212410842,150,240
880,-1781909.3192912794,-1781908.743456273,160,240
881,-1781908.3640441447,-1781907.7718206036,170,240
882,-1781908.4707021357,-1781907.8719083646,180,240
883,-1781909.6265104548,-1781909.460323096,190,240
884,-1781912.0373449135,-1781911.9377932497,200,240
885,-1781914.6923411265,-1781914.2540562197,210,240
886,-1781916.1590370913,-1781915.6880408695,220,240
887,-1781916.3453920588,-1781915.9568031773,230,240
888,-1781915.449846125,-1781915.197328461,240,240
889,-1781913.9865367736,-1781913.8225179547,250,240
890,-1781912.3857528113,-1781912.1918718359,260,240
891,-1781910.9126491882,-1781910.521943624,270,240
892,-1781909.5771913643,-1781908.9932677946,280,240
893,-1781908.4578371714,-1781907.8909219017,290,240
894,-1781908.3723585624,-1781907.7380605938,300,240
895,-1781909.378001653,-1781908.9789605786,310,240
896,-1781911.4493399886,-1781911.3214534447,320,240
897,-1781914.210910585,-1781913.795786051,330,240
898,-1781916.0016232054,-1781915.5025490692,340,240
899,-1781916.3990143936,-1781915.9878021453,350,240
900,-1781916.913880733,-1781916.8830699117,0,250
901,-1781915.6221052154,-1781915.6485705236,10,250
902,-1781913.9944262404,-1781913.9795835759,20,250
903,-1781912.3986503475,-1781912.1308779148,30,250
904,-1781910.769501791,-1781910.3443584428,40,250
905,-1781909.612223717,-1781909.0089555315,50,250
906,-1781909.4034659015,-1781908.6716064382,60,250
907,-1781910.3730143989,-1781909.7807921844,70,250
908,-1781912.8140638943,-1781912.073900055,80,250
909,-1781915.5187154121,-1781914.6348917196,90,250
910,-1781917.1607940495,-1781916.5086350085,100,250
911,-1781917.478622932,-1781917.2100650985,110,250
912,-1781916.6474319359,-1781916.7117598252,120,250
913,-1781915.2906990866,-1781915.4306992344,130,250
914,-1781913.7151202315,-1781913.7935897678,140,250
915,-1781912.2077709585,-1781912.00336799,150,250
916,-1781910.6651335328,-1781910.267865038,160,250
917,-1781909.563162147,-1781908.9607000528,170,250
918,-1781909.4213232843,-1781908.7040486783,180,250
919,-1781910.4247215227,-1781909.965907479,190,250
920,-1781912.9255201027,-1781912.271565539,200,250
921,-1781915.5459393035,-1781914.692748093,210,250
922,-1781917.1002390701,-1781916.4819031053,220,250
923,-1781917.5012158924,-1781917.204982272,230,250
924,-1781916.756856359,-1781916.7750755313,240,250
925,-1781915.4796043262,-1781915.5890198746,250,250
926,-1781913.976989197,-1781914.0366869383,260,250
927,-1781912.4914927979,-1781912.3050745449,270,250
928,-1781910.9527421987,-1781910.5752819292,280,250
929,-1781909.7109379547,-1781909.172861006,290,250
930,-1781909.3631718345,-1781908.635022636,300,250
931,-1781910.0990104056,-1781909.4825369313,310,250
932,-1781912.1963325846,-1781911.578732329,320,250
933,-1781914.943149387,-1781914.1199574454,330,250
934,-1781916.8332181685,-1781916.181326067,340,250
935,-1781917.5234014434,-1781917.1647589144,350,250
936,-1781918.2492849692,-1781918.1962589878,0,260
937,-1781916.6993899788,-1781917.1008156992,10,260
938,-1781915.0989989615,-1781915.4533523263,20,260
939,-1781913.4601457035,-1781913.4601939844,30,260
940,-1781911.782439753,-1781911.3985116081,40,260
941,-1781910.4879780414,-1781909.7085658438,50,260
942,-1781909.9592582013,-1781909.0162973923,60,260
943,-1781910.6188157124,-1781909.846617928,70,260
944,-1781912.8077496123,-1781912.061538118,80,260
945,-1781915.54367775,-1781914.8259056034,90,260
946,-1781917.5005705536,-1781917.1051455145,100,260
947,-1781918.3828321695,-1781918.248216772,110,260
948,-1781918.0969188837,-1781918.0612816997,120,260
949,-1781916.3524075393,-1781916.880371621,130,260
950,-1781914.7518097172,-1781915.2199815533,140,260
951,-1781913.1642621413,-1781913.2541198733,150,260
952,-1781911.5779990065,-1781911.2333511144,160,260
953,-1781910.396172889,-1781909.5937943612,170,260
