,ANI energy,DFT energy,Phi,Psi
639,-857959.5706305112,-857957.8775022407,270,170
640,-857958.6211067919,-857957.3890488662,280,170
641,-857958.3561379089,-857957.3099199216,290,170
642,-857958.5908436284,-857957.574226912,300,170
643,-857959.1606190426,-857958.0296105372,310,170
644,-857959.7848269937,-857958.4117638068,320,170
645,-857960.382609187,-857958.7760330564,330,170
646,-857960.8185137936,-857959.2945441346,340,170
647,-857960.6554194305,-857959.7477942277,350,170
648,-857960.5286026316,-857959.5746016129,0,180
649,-857958.7389232104,-857957.6071711594,10,180
650,-857956.1346224498,-857954.9577006587,20,180
651,-857954.8726250952,-857953.2356264095,30,180
652,-857953.498235091,-857951.8261773802,40,180
653,-857954.0179858984,-857952.5081546764,50,180
654,-857953.5506020093,-857952.0151204829,60,180
655,-857953.077399388,-857951.5607408728,70,180
656,-857953.2572565592,-857951.19427534,80,180
657,-857953.4160692985,-857951.1300811208,90,180
658,-857952.377531738,-857951.6843602392,100,180
659,-857953.071636586,-857952.0688980448,110,180
660,-857953.2451121891,-857953.8249833074,120,180
661,-857954.9343289516,-857955.3095452207,130,180
662,-857956.0456973022,-857956.0217057226,140,180
663,-857958.0455974406,-857958.3057147057,150,180
664,-857957.8114675876,-857958.4507948961,160,180
665,-857957.6779126374,-857958.3123663062,170,180
666,-857957.6211167315,-857957.9555016684,180,180
667,-857957.7545832711,-857957.6083634275,190,180
668,-857956.7126763196,-857956.5857739886,200,180
669,-857957.0127115154,-857956.6837909685,210,180
670,-857956.9072032124,-857956.749993218,220,180
671,-857959.4493608293,-857956.840668337,230,180
672,-857959.6548189409,-857958.7455988469,240,180
673,-857960.5928069749,-857959.3080983392,250,180
674,-857960.5896694411,-857958.9416328066,260,180
675,-857959.3704540647,-857958.2147258319,270,180
676,-857959.0000726769,-857957.8650148022,280,180
677,-857958.8758387672,-857957.8551001525,290,180
678,-857959.2880310297,-857958.1391736913,300,180
679,-857959.8650734898,-857958.5271000481,310,180
680,-857960.4345764576,-857958.914775401,320,180
681,-857961.2007516184,-857959.447844699,330,180
682,-857961.3428955033,-857960.0106579462,340,180
683,-857961.172854727,-857960.2361221003,350,180
684,-857960.1271751851,-857959.0741628074,0,190
685,-857957.6636567445,-857956.5938061101,10,190
686,-857955.5464143481,-857954.3764386331,20,190
687,-857954.6404227477,-857952.9617812751,30,190
688,-857953.7364114054,-857951.5578543291,40,190
689,-857954.2589471079,-857952.7594094697,50,190
690,-857953.7081907947,-857952.2109661896,60,190
691,-857953.0832900669,-857951.7352512574,70,190
692,-857953.9046318247,-857951.4846867245,80,190
693,-857952.4677392533,-857951.8060970771,90,190
694,-857953.1796786599,-857952.4031095904,100,190
695,-857952.6557054371,-857953.2713944495,110,190
696,-857954.1498541397,-857954.9322865249,120,190
697,-857955.5774719944,-857955.909193274,130,190
698,-857956.0631976858,-857956.272835014,140,190
699,-857957.4617855992,-857958.1992263481,150,190
700,-857957.6508352308,-857958.2973688297,160,190
701,-857957.4690787976,-857958.1776400221,170,190
702,-857957.4443915241,-857958.0161190835,180,190
703,-857956.4594151856,-857956.8776913959,190,190
704,-857956.9986776634,-857956.9204247912,200,190
705,-857957.1599922864,-857957.037455308,210,190
706,-857957.7018842051,-857957.1772016678,220,190
707,-857959.800137059,-857958.7341154235,230,190
708,-857960.8254585355,-857959.7209368221,240,190
709,-857961.302376895,-857959.8042700803,250,190
710,-857960.8007557659,-857959.0931763444,260,190
711,-857959.6375061265,-857958.5404659999,270,190
712,-857959.2443013793,-857958.2250169873,280,190
713,-857959.3346008756,-857958.260094767,290,190
714,-857959.8601149963,-857958.5110985566,300,190
715,-857960.437501265,-857958.8894867693,310,190
716,-857961.1487616012,-857959.406115319,320,190
717,-857961.8070871794,-857960.0872141022,330,190
718,-857961.8096181651,-857960.5746007105,340,190
719,-857961.3936644796,-857960.4228061688,350,190
720,-857959.1677753604,-857958.1531044017,0,200
721,-857956.736082029,-857955.6346578791,10,200
722,-857955.6112203358,-857954.0367677547,20,200
723,-857954.387946125,-857952.7157348103,30,200
724,-857955.0055183704,-857953.5405960138,40,200
725,-857954.3702582453,-857952.9109530078,50,200
726,-857954.2996174996,-857952.3119324639,60,200
727,-857954.2970732002,-857951.88246498,70,200
728,-857953.7944822368,-857951.93743481,80,200
729,-857953.7150454184,-857952.3423666734,90,200
730,-857953.926064709,-857952.7695123722,100,200
731,-857953.5241382645,-857954.3547268052,110,200
732,-857954.7356642373,-857955.5665103502,120,200
733,-857955.5947996838,-857956.1329631524,130,200
734,-857957.0217377468,-857957.7827483101,140,200
735,-857957.3363179376,-857958.0014981128,150,200
736,-857957.384370459,-857958.1327730947,160,200
737,-857957.3290651733,-857958.16690961,170,200
738,-857958.7710165472,-857958.2489250982,180,200
739,-857956.5827654254,-857957.0439186556,190,200
740,-857957.0889480944,-857957.1050380784,200,200
741,-857957.7544505453,-857957.2787327006,210,200
742,-857960.293088239,-857959.5601688949,220,200
743,-857960.6568094855,-857959.7462882049,230,200
744,-857961.5757090286,-857960.306779667,240,200
745,-857961.4510793706,-857959.8863483195,250,200
746,-857960.1047427437,-857959.2017982344,260,200
747,-857959.6742098932,-857958.6551747317,270,200
748,-857959.4252832726,-857958.3901147299,280,200
749,-857959.7330922284,-857958.4398134802,290,200
750,-857960.3050150702,-857958.7462263564,300,200
751,-857960.9000930359,-857959.205814295,310,200
752,-857961.6570095513,-857959.8957609616,320,200
753,-857962.2487393017,-857960.5840133525,330,200
754,-857961.9419149185,-857960.808912748,340,200
755,-857961.1142405648,-857960.1027763371,350,200
756,-857958.0062990146,-857956.9740141003,0,210
757,-857956.1408367751,-857954.9854993285,10,210
758,-857955.366487595,-857953.7466701249,20,210
759,-857955.6526102044,-857954.2905953369,30,210
760,-857955.0814935247,-857953.6438213222,40,210
761,-857954.8799364835,-857952.9150318193,50,210
762,-857954.7744843115,-857952.3168270378,60,210
763,-857954.7607054828,-857951.992279138,70,210
764,-857953.5341795125,-857952.2112171933,80,210
765,-857953.8969221768,-857952.4336065509,90,210
766,-857953.1387492999,-857953.7253975539,100,210
767,-857953.9059220181,-857955.0057678844,110,210
768,-857954.8471090865,-857955.7201874205,120,210
769,-857955.2064940116,-857955.9923382793,130,210
770,-857956.5440543169,-857957.5181275649,140,210
771,-857956.9834140862,-857957.7897136653,150,210
772,-857957.0494339012,-857958.0730341928,160,210
773,-857958.367077072,-857958.3355841566,170,210
774,-857959.1651484943,-857958.3284305487,180,210
775,-857959.0735270543,-857958.4844294039,190,210
776,-857959.0487287239,-857958.9563792791,200,210
777,-857959.8441951775,-857959.401597251,210,210
778,-857960.2366407352,-857959.3959496657,220,210
779,-857961.3354352722,-857960.3314407894,230,210
780,-857961.6306530281,-857960.3406024276,240,210
781,-857961.036550595,-857959.6517225272,250,210
782,-857959.9282419508,-857959.0379555108,260,210
783,-857959.4310811667,-857958.5247782631,270,210
784,-857959.5185252185,-857958.3333251226,280,210
785,-857959.9779450115,-857958.4667336367,290,210
786,-857960.5481346286,-857958.8184526969,300,210
787,-857961.1960917965,-857959.4498527294,310,210
788,-857961.9152157098,-857960.2155397895,320,210
789,-857962.2032862429,-857960.738568936,330,210
790,-857961.7073103482,-857960.5501905918,340,210
791,-857960.2696216503,-857959.241645086,350,210
792,-857956.859983179,-857955.8204006834,0,220
793,-857956.0022239991,-857954.5752963852,10,220
794,-857956.1908291113,-857954.9547513642,20,220
795,-857955.7265574253,-857954.3333287323,30,220
796,-857955.044623529,-857953.5495066484,40,220
797,-857955.2865585999,-857952.7645550475,50,220
798,-857955.1786730028,-857952.2075776384,60,220
799,-857954.9860125717,-857952.0859035514,70,220
800,-857953.8813470616,-857952.3080419052,80,220
801,-857953.7136057519,-857953.0638770666,90,220
802,-857953.4942138233,-857954.2438458812,100,220
803,-857953.8652684375,-857955.114829031,110,220
804,-857954.3951613865,-857955.397459298,120,220
805,-857955.7890684849,-857956.8103596295,130,220
806,-857956.1428662974,-857957.1728718525,140,220
807,-857956.5023233882,-857957.6569954115,150,220
808,-857957.422742635,-857958.0575347088,160,220
809,-857958.6906099949,-857958.3831493747,170,220
810,-857958.8703811844,-857958.1532926544,180,220
811,-857958.6500835974,-857958.5702099489,190,220
812,-857959.0584678577,-857958.9083120534,200,220
813,-857959.5174040302,-857958.8023257033,210,220
814,-857960.5330467045,-857959.8489487548,220,220
815,-857961.2249690051,-857960.2428992025,230,220
816,-857960.9295457456,-857959.8255426513,240,220
817,-857959.8971746616,-857959.1709247683,250,220
818,-857959.5129496573,-857958.5936788032,260,220
819,-857959.168978394,-857958.2417714903,270,220
820,-857959.4835944806,-857958.1013976211,280,220
821,-857960.0091615272,-857958.2643618314,290,220
822,-857960.5110422272,-857958.7710757315,300,220
823,-857961.1355549501,-857959.4801614371,310,220
824,-857961.8583748044,-857960.142246683,320,220
825,-857961.8457516169,-857960.3496385639,330,220
826,-857960.9617030119,-857959.6586878824,340,220
827,-857958.9761736859,-857957.97150316,350,220
828,-857956.2983416059,-857955.0918621842,0,230
829,-857956.5044573471,-857955.39494926,10,230
830,-857956.1404721648,-857954.8996560323,20,230
831,-857955.6104248759,-857954.1282586361,30,230
832,-857955.8082114633,-857953.1994191129,40,230
833,-857954.4949493672,-857953.3602497911,50,230
834,-857954.0617114125,-857952.6772057287,60,230
835,-857953.7658669734,-857951.9685592799,70,230
836,-857953.6391580721,-857952.4058078812,80,230
837,-857953.1266804836,-857953.396017831,90,230
838,-857953.29321802,-857954.2301661746,100,230
839,-857953.379642343,-857954.6058560966,110,230
840,-857953.500364475,-857954.6371688194,120,230
841,-857955.0851953737,-857956.235937457,130,230
842,-857955.4239212695,-857956.8623801648,140,230
843,-857955.9803575164,-857957.4415086582,150,230
844,-857957.5518585349,-857958.008337966,160,230
845,-857958.1241429095,-857958.0519498744,170,230
846,-857957.7972029377,-857957.928393259,180,230
847,-857957.7040952425,-857958.1020251304,190,230
848,-857958.3807664305,-857958.0271004994,200,230
849,-857959.2692118074,-857958.9623406192,210,230
850,-857960.1956879075,-857959.5762958884,220,230
851,-857960.2299362968,-857959.4866875355,230,230
852,-857959.5507833692,-857958.9497904298,240,230
853,-857959.1800265776,-857958.3910559941,250,230
854,-857958.7958971522,-857957.9617767631,260,230
855,-857958.7231248401,-857957.6970305161,270,230
856,-857959.1848550757,-857957.6738126655,280,230
857,-857959.6543167742,-857957.9334760858,290,230
858,-857960.1114602489,-857958.469933935,300,230
859,-857960.7934352186,-857959.0712135128,310,230
860,-857961.1891107571,-857959.4733843347,320,230
861,-857961.009831297,-857959.2926616062,330,230
862,-857959.675386062,-857958.2669973712,340,230
863,-857957.7944720369,-857956.4929025866,350,230
864,-857956.5312801865,-857955.4986138252,0,240
865,-857956.0039613876,-857955.2124695051,10,240
866,-857955.2894969673,-857954.5752963852,20,240
867,-857956.3264148895,-857953.5442983197,30,240
868,-857954.3273618771,-857953.404300956,40,240
869,-857953.8353604331,-857952.5810085263,50,240
870,-857953.5971732887,-857951.6954044058,60,240
871,-857953.3966523671,-857951.7849500077,70,240
872,-857953.2299669376,-857952.4998088004,80,240
873,-857953.1473594563,-857953.1733147188,90,240
874,-857952.511236983,-857953.5674534193,100,240
875,-857952.5188661462,-857953.5126090914,110,240
876,-857953.4346169969,-857954.9364280875,120,240
877,-857953.9178564101,-857955.6281945315,130,240
878,-857954.5730299535,-857956.4538087463,140,240
879,-857955.9734911134,-857957.1672242671,150,240
880,-857956.6797021984,-857957.4974197524,160,240
881,-857956.6813963038,-857957.2715163418,170,240
882,-857956.2766303034,-857957.0560295884,180,240
883,-857956.8838834119,-857957.1177137698,190,240
884,-857957.6662785609,-857957.7535063687,200,240
