,ANI energy,DFT energy,Phi,Psi
118,-494730.4603130489,-494731.81176949415,100,30
119,-494730.2784504076,-494731.7109914726,110,30
120,-494730.3663492427,-494731.86843359965,120,30
121,-494730.8203563979,-494732.2772560218,130,30
122,-494731.5686668023,-494732.8688092029,140,30
123,-494732.25525885844,-494733.4749833547,150,30
124,-494732.6099955495,-494733.89503819647,160,30
125,-494732.5568230446,-494733.97699093376,170,30
126,-494732.23580325535,-494733.7227868459,180,30
127,-494731.78043896385,-494733.22316380276,190,30
128,-494731.2721103648,-494732.6250845232,200,30
129,-494730.8107146695,-494732.1016788711,210,30
130,-494730.42054655333,-494731.7815235375,220,30
131,-494730.276424611,-494731.7187725901,230,30
132,-494730.40599889203,-494731.91775584425,240,30
133,-494730.89581186237,-494732.3507373812,250,30
134,-494731.6227464632,-494732.9308698898,260,30
135,-494732.26549153856,-494733.503221281,270,30
136,-494732.6065827933,-494733.8961677135,280,30
137,-494732.5641512257,-494733.97975197545,290,30
138,-494732.2497600379,-494733.75196603645,300,30
139,-494731.81164697814,-494733.28930330137,310,30
140,-494731.3109692661,-494732.71356335905,320,30
141,-494730.86386661034,-494732.1763524984,330,30
142,-494730.46002591914,-494731.81647581514,340,30
143,-494730.27776543837,-494731.71124247636,350,30
144,-494731.1642128238,-494732.7143163704,0,40
145,-494731.57435928285,-494733.0708045025,10,40
146,-494732.1967837864,-494733.5249331088,20,40
147,-494732.61532956536,-494733.90909440874,30,40
148,-494732.7287269496,-494734.0881856125,40,40
149,-494732.60750872357,-494734.0289487182,50,40
150,-494732.372364146,-494733.75453882525,60,40
151,-494732.02083460713,-494733.3654829515,70,40
152,-494731.65666845755,-494732.98508670845,80,40
153,-494731.30218173115,-494732.6998836525,90,40
154,-494731.05054423516,-494732.54350829165,100,40
155,-494730.98989116325,-494732.53591542697,110,40
156,-494731.16119651916,-494732.70666075486,120,40
157,-494731.56702120317,-494733.0510379541,130,40
158,-494732.18362388824,-494733.4982639561,140,40
159,-494732.6053182684,-494733.8883238451,150,40
160,-494732.7308285009,-494734.0834792915,160,40
161,-494732.61412797443,-494734.0364788319,170,40
162,-494732.3768972778,-494733.75648410467,180,40
163,-494732.0110666089,-494733.35180324496,190,40
164,-494731.63058432605,-494732.9612413484,200,40
165,-494731.2733211968,-494732.67760706623,210,40
166,-494731.0342717502,-494732.5337818948,220,40
167,-494730.99733666546,-494732.54915587686,230,40
168,-494731.1937988712,-494732.74393481755,240,40
169,-494731.60761183145,-494733.098854176,250,40
170,-494732.19625638967,-494733.5324004715,260,40
171,-494732.60158835823,-494733.89892875525,270,40
172,-494732.7314781496,-494734.08360479336,280,40
173,-494732.617394956,-494734.0420009153,290,40
174,-494732.3893552587,-494733.78202374023,300,40
175,-494732.0396502408,-494733.39748593466,310,40
176,-494731.67088398937,-494733.01156760816,320,40
177,-494731.3109461817,-494732.71356335905,330,40
178,-494731.0541300143,-494732.5460183295,340,40
179,-494730.9901169295,-494732.5360409289,350,40
180,-494731.7998785322,-494733.3354252477,0,50
181,-494732.07799073076,-494733.5561830806,10,50
182,-494732.40534784616,-494733.80084902444,20,50
183,-494732.5500878241,-494733.97416714113,30,50
184,-494732.60749725444,-494734.0288232163,40,50
185,-494732.5772085593,-494733.93262601394,50,50
186,-494732.42716009705,-494733.733391756,60,50
187,-494732.24172435113,-494733.5340947471,70,50
