,ANI energy,DFT energy,Phi,Psi
321,-1165419.7140080528,-1165419.9365163166,330,80
322,-1165420.4014680726,-1165420.8238147127,340,80
323,-1165421.029775393,-1165421.5074862845,350,80
324,-1165421.699224699,-1165421.9797499145,0,90
325,-1165421.4310860664,-1165421.6925388284,10,90
326,-1165420.7150175404,-1165420.9721579524,20,90
327,-1165419.778281311,-1165420.0035970793,30,90
328,-1165418.833556294,-1165419.0489041659,40,90
329,-1165418.2070780785,-1165418.367679881,50,90
330,-1165418.1235403935,-1165418.1282222657,60,90
331,-1165418.6859557396,-1165418.3888269502,70,90
332,-1165419.6809535471,-1165419.0635878877,80,90
333,-1165420.753811718,-1165419.9294254596,90,90
334,-1165421.5799361337,-1165420.7044624109,100,90
335,-1165421.9194800623,-1165421.1223209694,110,90
336,-1165421.7173091948,-1165421.0379836962,120,90
337,-1165421.0549019536,-1165420.4383983938,130,90
338,-1165420.0997566415,-1165419.4586678522,140,90
339,-1165418.993075973,-1165418.335614147,150,90
340,-1165417.8839050813,-1165417.3155347463,160,90
341,-1165417.0530685752,-1165416.574885314,170,90
342,-1165416.801316872,-1165416.2066627548,180,90
343,-1165417.0201761075,-1165416.2049684792,190,90
344,-1165417.4069000736,-1165416.5046670039,200,90
345,-1165418.0460388788,-1165417.01508321,210,90
346,-1165418.8515712628,-1165417.6577784133,220,90
347,-1165419.5434300909,-1165418.3101372623,230,90
348,-1165420.0185847813,-1165418.7807693677,240,90
349,-1165420.1763554474,-1165418.9218334975,250,90
350,-1165419.9201376645,-1165418.7269290548,260,90
351,-1165419.3788306708,-1165418.346030804,270,90
352,-1165418.797096447,-1165418.0256872177,280,90
353,-1165418.3411700595,-1165417.970466384,290,90
354,-1165418.2676566378,-1165418.261379776,300,90
355,-1165418.6681462831,-1165418.8551292403,310,90
356,-1165419.490943596,-1165419.6029322804,320,90
357,-1165420.3407478298,-1165420.4233381667,330,90
358,-1165421.008718606,-1165421.2156943793,340,90
359,-1165421.4842380073,-1165421.791810827,350,90
360,-1165421.7250311247,-1165421.9358870024,0,100
361,-1165421.4889646347,-1165421.6102723363,10,100
